text,label,split
supply chain transparency traceability blockchain technology verification audit social responsibility strategic philanthropy shared value creation communities csr environmental management system iso 14001 audit corrective action improvement,1,train
net positive nature biodiversity banking ecosystem corporate supply chain transparency traceability blockchain technology provenance verification audit,1,train
principle businesses conduct govern integrity accountable anti-bribery policy principle 2 goods services sustainable safe extended producer responsibility lifecycle impact,0,train
scope 3 categories upstream downstream purchased goods capital business travel waste climate scenario analysis 2c 4c physical transition risks resilience deforestation free supply chain palm oil soy beef timber responsible sourcing policy,1,train
materiality matrix significant topics business impact environmental social pillar sustainability targets based near term long term net zero baseline year nature based solutions afforestation reforestation avoided blue carbon mangrove,1,train
library membership issue return fine renewal reservation reading room parking lot charges hourly daily monthly season pass vehicle two four wheeler,2,train
trade industry chambers associations affiliations national international reach members,0,val
article headline journalist reporter editor publication date byline column laboratory test blood sugar haemoglobin creatinine report range,2,train
nursery plant seeds sapling fertiliser pot soil mix drainage sunlight watering cinema hall show timing seat row multiplex ticket booking snacks beverage combo,2,val
waste recovered recycled reused co-processing disposal incineration landfilling operations biodiversity ecologically sensitive national parks wildlife sanctuaries biosphere reserves,0,val
grievance mechanism communities investors employees workers suppliers dealers material issues esg risk opportunity financial implications positive negative rationale mitigation,0,train
holding subsidiary associate companies joint ventures held responsibility csr details applicable turnover worth section 135 companies act csr committee spend,0,train
climate resilience mitigation acute transition regulatory community development education healthcare livelihood skills rural infrastructure investment,1,train
principle 8 inclusive growth equitable development csr social impact assessment communities principle 9 consumer responsible data privacy cyber security product recalls complaints,0,train
worker wellbeing permanent coverage benefits spending revenue retirement benefits pf gratuity national pension scheme deposited rights persons disabilities act premises offices workstations,0,train
supply chain traceability blockchain technology provenance verification audit corporate social responsibility strategic philanthropy shared value creation csr environmental management system iso 14001 nonconformities corrective action improvement,1,train
ticket venue date time merchandise backstage pass experience yoga mindfulness technique energy balance stress photography landscape portrait lighting golden hour lens aperture shutter,2,train
science based targets sbti 1.5 degree absolute emissions reduction committed verified esg msci sustainalytics cdp water climate change disclosure integrated thinking value creation six financial manufactured human social,1,train
voluntary carbon market integrity removal reduction nature technology credit science based targets freshwater biodiversity ocean targets nature positive 2030 corporate sustainability reporting directive csrd european esrs disclosure,1,train
safety ltifr lost time injury frequency rate recordable fatalities high consequence corrective actions safety incidents significant risks health practices,0,train
penalties punishment compounding fees settlement amount proceedings regulatory r&d capital expenditure technologies social impacts total investments percentage sustainable sourcing inputs sourced sustainably chain audit,0,train
green building igbc platinum certification energy efficiency water conservation sustainable responsible sourcing raw materials conflict minerals sustainable forestry fair trade rainforest task force climate financial disclosures physical risks opportunities scenario,1,train
school curriculum syllabus examination marks grade promotion admission fees timetable venue date time support act merchandise backstage experience yoga meditation mindfulness breathing technique asana energy balance stress,2,train
dear customer your order has been shipped tracking number estimated delivery business days software update version bug fixes performance improvements enhancements changelog,2,train
movie review cinematography compelling narrative outstanding performances blockbuster travel itinerary flight hotel sightseeing local cuisine sports championship final winning team player statistics league standings tournament,2,train
posh complaints sexual harassment discrimination child labour wages filed pending offices labour forced wages discrimination,0,train
community grievances mechanisms committee site administration security hr function,0,val
weather forecast sunny partly cloudy humidity wind speed precipitation outlook job posting engineer required skills python javascript react experience preferred manual installation guide safety warnings troubleshooting faq technical specifications,2,train
human rights conditions training value chain corporate transparency accountability board oversight stakeholders,0,train
executive remuneration pay ceo median sustainability performance linked incentives compliance whistleblower ethics hotline culture code conduct,1,train
principle goods services sustainable safe extended producer responsibility lifecycle impact principle employee permanent workers insurance accident maternity,0,train
ghg greenhouse gas scope 1 scope 2 metric tonnes co2 equivalent intensity output business responsibility sustainability report brsr sebi mandatory disclosure listed entity core parameters reasonable assurance standalone reporting boundary,0,train
routine workout plan exercise sets repetitions rest interval calories heart rate home renovation kitchen remodel bathroom painting contractor quote,2,train
employee mental health work life balance diversity equity wellness human due diligence modern slavery child labour forced labour chain audit vendors stakeholder engagement materiality assessment double materiality financial impact outside-in,1,train
life cycle assessment lca products manufacturing boundary cradle gate independent agency recycled reused input material total material foundry operations manufacturing plants,0,train
female workforce equity inclusion posh policy zero complaints investigations sustainable sourcing core kpi value chain implementation business spend percentage,0,train
sustainable sourcing brsr kpi value chain implementation business spend percentage greenco certification manufacturing plants eco label pumps castings products key personnel board directors remuneration median wages male workers,0,train
board independence age skills matrix expertise executive remuneration pay ratio ceo median employee sustainability performance linked compliance ethics speak up code business conduct,1,train
tax return filing deductions exemptions refund assessment income salary curriculum syllabus marks grade promotion admission fees timetable ticket venue date time support act merchandise pass experience,2,train
stewardship lifecycle quality safety eco-friendly sustainable design innovation value energy consumption intensity renewable deployment net zero strategy,0,train
mobile gaming leaderboard score rank achievement badge clan guild multiplayer,2,val
nature based solutions afforestation reforestation deforestation blue carbon mangrove conflict minerals cobalt mica lithium responsible sourcing traceability chain custody smelter water risk physical regulatory reputational scarcity flood contamination,1,train
board climate training literacy scenario analysis oversight strategy integration integrated reporting framework capitals providers investors materiality connectivity,1,train
subsidiary companies shares held business responsibility csr details turnover net worth section 135 companies act csr committee spend transparency disclosures grievances pending resolution financial year,0,train
trade industry chambers associations affiliations national international reach members social impact assessments sia projects rehabilitation resettlement pafs covered amounts,0,val
birthday party invitation decorations games bags rsvp children car insurance renewal premium no claim bonus comprehensive coverage garage repair cryptocurrency bitcoin wallet key exchange trading chart,2,train
cooking tutorial step preparation technique plating suggestion book summary characters author edition publisher review,2,train
ngrbc nine indicators leadership compliance transparency accountability principle 1 businesses conduct govern integrity ethical transparent accountable policy,0,train
sports championship final winning team player statistics league tournament weather forecast sunny partly cloudy temperature wind speed precipitation outlook job posting software engineer required skills javascript react experience preferred,2,train
carbon capture storage utilisation ccus negative emissions technology direct air capture net zero aligned financial institution paris pledge portfolio decarbonisation target year,1,val
programmes value chain partners training sessions dealers suppliers covered product stewardship lifecycle quality safety sustainable design innovation value,0,train
water footprint blue green grey weighting watershed level assessment methodology circular economy metrics material circularity indicator macarthur foundation,1,train
sustainability committee corporate cmd board esg initiatives review compliance monitoring tool statutory non-compliance rectification notification independent assessment external agency ims iso 14001 45001 assurance,0,train
digital wallet top-up balance transfer payment qr code merchant cashback offer rideshare app driver rating surge pricing route map estimated arrival pickup,2,val
travel itinerary flight reservation sightseeing tourist attractions local cuisine sports final score team player statistics standings tournament weather forecast sunny partly cloudy temperature wind precipitation outlook,2,train
technology review smartphone camera performance benchmark comparison price insurance premium coverage exclusion claim procedure beneficiary renewal,2,train
recycled reused material total material value foundry operations manufacturing plants wellbeing health insurance insurance maternity paternity day care worker wellbeing permanent coverage percentage benefits spending revenue,0,train
fashion trend season outfit styling colour runway cooking tutorial step preparation technique garnish plating serving chef book summary plot characters themes author biography edition publisher review,2,train
music favourite songs artist album genre pop rock classical shuffle fitness routine workout plan exercise sets repetitions rest interval calories heart home renovation kitchen remodel flooring painting contractor quote,2,train
